id,time,sum_flow,avg_speed
R003_SM8,2019-04-25 01:30:00,4,19.625
R003_SM9,2019-04-25 01:30:00,5,23.6
R028_S1,2019-04-25 01:30:00,2,0.0
R028_S2,2019-04-25 01:30:00,0,0.0
R028_S3,2019-04-25 01:30:00,1,27.0
R029_S1,2019-04-25 01:30:00,1,26.0
R029_S2,2019-04-25 01:30:00,1,27.3333333333333
R030_S2,2019-04-25 01:30:00,3,35.3333333333333
R031_S1,2019-04-25 01:30:00,3,13.0
R031_S2,2019-04-25 01:30:00,0,0.0
R032_S2,2019-04-25 01:30:00,1,11.5
R032_SM46,2019-04-25 01:30:00,0,22.0
R069_S1,2019-04-25 01:30:00,3,35.5
R069_S4,2019-04-25 01:30:00,16,27.9090909090909
R069_SM67,2019-04-25 01:30:00,5,21.7272727272727
R071_S2,2019-04-25 01:30:00,1,21.0
R074_S1,2019-04-25 01:30:00,0,2.0
R074_S3,2019-04-25 01:30:00,0,0.0
R077_S2,2019-04-25 01:30:00,1,14.5
R085_S1,2019-04-25 01:30:00,0,0.0
R085_S2,2019-04-25 01:30:00,0,0.0
R116_S1,2019-04-25 01:30:00,0,24.0
R116_S2,2019-04-25 01:30:00,0,36.0
R131_S1,2019-04-25 01:30:00,0,0.0
R131_S2,2019-04-25 01:30:00,9,41.3684210526316
R131_SM82,2019-04-25 01:30:00,9,37.7894736842105
R131_SM83,2019-04-25 01:30:00,5,51.0
R133_S2,2019-04-25 01:30:00,1,0.0
R133_S4,2019-04-25 01:30:00,6,37.5
R134_S1,2019-04-25 01:30:00,1,6.33333333333333
R134_S2,2019-04-25 01:30:00,1,13.0
R135_S1,2019-04-25 01:30:00,0,0.0
R135_S2,2019-04-25 01:30:00,0,25.0
R141_S1,2019-04-25 01:30:00,0,1.0
R141_S2,2019-04-25 01:30:00,0,4.0
R142_S1,2019-04-25 01:30:00,5,19.8
R142_S2,2019-04-25 01:30:00,16,25.969696969697
R154_S1,2019-04-25 01:30:00,4,6.25
R001_SM1,2019-04-25 01:45:00,12,34.16
R001_SM2,2019-04-25 01:45:00,1,21.3333333333333
