id1,id2,dist
R028_S1,R133_S4,692.58816226
R028_S1,R134_S1,802.39287238
R028_S1,R134_S2,752.90612666
R028_S1,R154_S2,817.94540022
R028_S1,R154_S1,778.56572832
R028_S1,R085_S2,1597.02919207
R028_S1,R116_S2,1279.11858029
R028_S1,R085_S1,1628.52026206
R028_S1,R028_S1,0.0
R028_S1,R028_S2,59.90272482
R028_S1,R028_S3,70.91254586
R028_S1,R032_S2,622.63556504
R028_S1,R032_SM46,629.47404189
R028_S1,R069_S1,910.47431083
R028_S1,R069_S4,910.68710807
R028_S1,R069_SM67,907.44171706
R028_S1,R069_S3,953.55910592
R028_S1,R071_S1,1409.34448555
R028_S1,R074_S3,343.5402592
R028_S1,R071_S2,1422.90099068
R028_S1,R074_S2,333.98345696
R028_S1,R074_S1,352.08849639
R028_S1,R077_S2,564.47325902
R028_S1,R126_S1,1207.31337899
R028_S1,R131_S1,1237.18971266
R028_S1,R131_SM82,1205.3005326
R028_S1,R126_S2,1219.71236981
R028_S1,R131_S2,1209.97877137
R028_S1,R141_S1,458.78681414
R028_S1,R141_S2,471.58811161
R028_S1,R142_S2,1312.21906881
R028_S1,R142_S1,1328.00517652
R028_S1,R135_S2,1038.18128811
R028_S1,R116_S1,1293.2234007000002
R028_S1,R135_S1,1059.13646736
R028_S2,R029_S1,210.07870898
R028_S2,R029_S2,231.7585121
R028_S2,R030_S1,293.07888359
R028_S2,R030_S2,252.60705745
R028_S2,R031_S1,278.17297322
R028_S2,R031_S2,338.38638891
R028_S2,R032_S1,670.4751708
R028_S2,R092_S1,512.33750528
R028_S2,R131_SM83,1262.4994156
R028_S2,R133_S2,760.99762981
R028_S2,R133_S4,721.78041381
R028_S2,R134_S1,838.10712475
R028_S2,R134_S2,786.94804326
R028_S2,R154_S2,814.71232834
R028_S2,R154_S1,775.04707821
R028_S2,R085_S2,1640.3555127
R028_S2,R116_S2,1308.2351721
R028_S2,R085_S1,1672.61574555
R028_S2,R028_S2,0.0
R028_S2,R028_S3,11.07026353
R028_S2,R032_S2,682.53820762
R028_S2,R032_SM46,689.25692505
R028_S2,R069_S1,876.94561124
R028_S2,R069_S4,875.60539754
R028_S2,R069_SM67,872.41164275
R028_S2,R069_S3,916.81530451
R028_S2,R071_S1,1435.95297274
R028_S2,R074_S3,360.0988408
R028_S2,R071_S2,1450.92869114
R028_S2,R074_S2,358.79090538
R028_S2,R074_S1,370.19146194
R028_S2,R077_S2,516.68782988
R028_S2,R126_S1,1164.60184825
R028_S2,R131_S1,1294.96091174
R028_S2,R131_SM82,1263.15548903
R028_S2,R126_S2,1177.65793937
R028_S2,R131_S2,1267.73630417
R028_S2,R141_S1,405.65483926
R028_S2,R141_S2,418.60926269
R028_S2,R142_S2,1329.42315056
R028_S2,R142_S1,1346.31281402
R028_S2,R135_S2,1073.58147108
R028_S2,R116_S1,1323.90760005
R028_S2,R135_S1,1095.97567195
R028_S3,R029_S1,211.46628179
R028_S3,R029_S2,235.42001629
R028_S3,R030_S1,282.07431181
R028_S3,R030_S2,241.59568799
R028_S3,R031_S1,270.16591729
R028_S3,R031_S2,329.54583235
R028_S3,R032_S1,681.50980425
R028_S3,R092_S1,501.58610461
R028_S3,R131_SM83,1273.47302168
R028_S3,R133_S2,767.86837915
R028_S3,R133_S4,728.61529335
R028_S3,R134_S1,845.94132698
R028_S3,R134_S2,794.53422904
R028_S3,R154_S2,815.85297595
R028_S3,R154_S1,776.15947656
R028_S3,R085_S2,1649.27582066
R028_S3,R116_S2,1314.88937255
R028_S3,R085_S1,1681.65388851
R028_S3,R028_S3,0.0
R028_S3,R032_S2,693.53605693
R028_S3,R032_SM46,700.31170104
R028_S3,R069_S1,872.16511418
R028_S3,R069_S4,870.50500093
R028_S3,R069_SM67,867.32312151
R028_S3,R069_S3,911.35553937
R028_S3,R071_S1,1442.16729754
R028_S3,R074_S3,365.29261827
R028_S3,R071_S2,1457.37990571
R028_S3,R074_S2,365.31821962
R028_S3,R074_S1,375.61452579
R028_S3,R077_S2,508.99899559
R028_S3,R126_S1,1157.82873552
R028_S3,R131_S1,1305.91182024
R028_S3,R131_SM82,1274.114941
R028_S3,R126_S2,1171.02232226
R028_S3,R131_S2,1278.68608987
R028_S3,R141_S1,396.74266973
R028_S3,R141_S2,409.72772566
R028_S3,R142_S2,1334.04322344
R028_S3,R142_S1,1351.12132372
R028_S3,R135_S2,1081.30703351
R028_S3,R116_S1,1330.81994928
R028_S3,R135_S1,1103.92770489
R032_S2,R092_S1,1176.6538718
R032_S2,R131_SM83,623.82669826
R032_S2,R133_S2,709.44552336
R032_S2,R133_S4,690.52596986
R032_S2,R134_S1,679.15132156
R032_S2,R134_S2,669.59210813
R032_S2,R154_S2,1072.67527953
R032_S2,R154_S1,1043.85427143
R032_S2,R085_S2,1232.8715124000003
R032_S2,R116_S2,1131.60076851
R032_S2,R085_S1,1251.57719757
R032_S2,R032_S2,0.0
R032_S2,R032_SM46,43.07202563
R032_S2,R069_S1,1370.56623768
R032_S2,R069_S4,1381.03044614
R032_S2,R069_SM67,1377.692583
R032_S2,R069_S3,1431.84253299
R032_S2,R071_S1,1275.55877423
R032_S2,R074_S3,650.08913811
R032_S2,R071_S2,1270.88597536
R032_S2,R074_S2,598.80174985
R032_S2,R074_S1,643.25186487
R032_S2,R077_S2,1131.94685523
R032_S2,R126_S1,1713.87873766
R032_S2,R131_S1,660.17401111
R032_S2,R131_SM82,627.69983262
R032_S2,R126_S2,1721.17619371
R032_S2,R131_S2,634.24444685
R032_S2,R141_S1,1055.12255486
R032_S2,R141_S2,1066.77933484
R032_S2,R142_S2,1295.08424401
R032_S2,R142_S1,1297.08156653
R032_S2,R135_S2,852.99657642
R032_S2,R116_S1,1124.78142354
R032_S2,R135_S1,850.5075607999999
R032_SM46,R092_S1,1189.14617907
R032_SM46,R131_SM83,598.89216871
R032_SM46,R133_S2,672.86829565
R032_SM46,R133_S4,655.15829422
R032_SM46,R134_S1,639.18919003
R032_SM46,R134_S2,631.16741217
R032_SM46,R154_S2,1044.22080536
R032_SM46,R154_S1,1016.27072801
R032_SM46,R085_S2,1191.87988955
R032_SM46,R116_S2,1089.01896707
R032_SM46,R085_S1,1211.04047193
R032_SM46,R032_SM46,0.0
R032_SM46,R069_S1,1352.61085268
R032_SM46,R069_S4,1363.82567011
R032_SM46,R069_SM67,1360.49957372
R032_SM46,R069_S3,1415.00799557
R032_SM46,R071_S1,1232.94361822
R032_SM46,R074_S3,633.76420272
R032_SM46,R071_S2,1228.09121913
R032_SM46,R074_S2,582.27694485
R032_SM46,R074_S1,626.22350088
R032_SM46,R077_S2,1125.65098465
R032_SM46,R126_S1,1698.37379625
R032_SM46,R131_S1,634.65760235
R032_SM46,R131_SM82,602.11902475
R032_SM46,R126_S2,1705.17119901
R032_SM46,R131_S2,608.31197492
R032_SM46,R141_S1,1053.25417075
R032_SM46,R141_S2,1064.65805312
R032_SM46,R142_S2,1254.55566638
R032_SM46,R142_S1,1256.21758566
R032_SM46,R135_S2,810.50846091
R032_SM46,R116_S1,1081.98684358
R032_SM46,R135_S1,807.73644265
R069_S1,R092_S1,916.78778378
R069_S1,R131_SM83,1748.77901752
R069_S1,R133_S2,872.90691459
R069_S1,R133_S4,853.79430049
R069_S1,R134_S1,992.66401753
R069_S1,R134_S2,943.86697507
R069_S1,R154_S2,462.19575455
R069_S1,R154_S1,455.92003475
R069_S1,R085_S2,1713.08453964
R069_S1,R116_S2,1194.52542579
R069_S1,R085_S1,1756.14407737
R069_S1,R069_S1,0.0
R069_S1,R069_S4,28.25689045
R069_S1,R069_SM67,27.51408285
R069_S1,R069_S3,73.43552951
R069_S1,R071_S1,1251.82918675
R069_S1,R074_S3,720.85546647
R069_S1,R071_S2,1286.54022436
R069_S1,R074_S2,771.9204063
R069_S1,R074_S1,727.3433932999999
R069_S1,R077_S2,420.39965198
R069_S1,R126_S1,357.18687400000005
R069_S1,R131_S1,1768.38139756
R069_S1,R131_SM82,1743.6825517999998
R069_S1,R126_S2,359.57816009
R069_S1,R131_S2,1744.01328265
R069_S1,R141_S1,553.53105403
R069_S1,R141_S2,543.4800482
R069_S1,R142_S2,1024.16340378
R069_S1,R142_S1,1053.48379426
R069_S1,R135_S2,1129.70265741
R069_S1,R116_S1,1231.7019453
R069_S1,R135_S1,1168.02018305
R069_S4,R092_S1,900.17037576
R069_S4,R131_SM83,1766.93513793
R069_S4,R133_S2,894.07850124
R069_S4,R133_S4,874.21738423
R069_S4,R134_S1,1014.21770354
R069_S4,R134_S2,964.86001997
R069_S4,R154_S2,487.5824774
R069_S4,R154_S1,480.18960803
R069_S4,R085_S2,1739.06461705
R069_S4,R116_S2,1221.57407194
R069_S4,R085_S1,1782.05791604
R069_S4,R069_S4,0.0
R069_S4,R069_SM67,3.35726355
R069_S4,R071_S1,1279.59526625
R069_S4,R074_S3,730.96099608
R069_S4,R071_S2,1314.21574303
R069_S4,R074_S2,782.23071304
R069_S4,R074_S1,737.86758087
R069_S4,R077_S2,408.51827513
R069_S4,R126_S1,340.05125309
R069_S4,R131_S1,1786.92555111
R069_S4,R131_SM82,1761.97132714
R069_S4,R126_S2,343.9039265
R069_S4,R131_S2,1762.41177021
R069_S4,R141_S1,542.70608341
R069_S4,R141_S2,532.26351901
R069_S4,R142_S2,1052.30473338
R069_S4,R142_S1,1081.60473317
R069_S4,R135_S2,1154.15850515
R069_S4,R116_S1,1258.61570811
R069_S4,R135_S1,1192.40245294
R069_SM67,R092_S1,898.08074374
R069_SM67,R131_SM83,1763.87362053
R069_SM67,R133_S2,891.26483336
R069_SM67,R133_S4,871.33535145
R069_SM67,R134_S1,1011.43951728
R069_SM67,R134_S2,962.02772187
R069_SM67,R154_S2,485.36725272
R069_SM67,R154_S1,477.77786524
R069_SM67,R085_S2,1736.94921545
R069_SM67,R116_S2,1219.76120023
R069_SM67,R085_S1,1779.92697332
R069_SM67,R069_SM67,0.0
R069_SM67,R071_S1,1278.0901669000002
R069_SM67,R074_S3,727.62139653
R069_SM67,R071_S2,1312.66143611
R069_SM67,R074_S2,778.89343035
R069_SM67,R074_S1,734.53378007
R069_SM67,R077_S2,405.922334
R069_SM67,R126_S1,343.22095744
R069_SM67,R131_S1,1783.8891976
R069_SM67,R131_SM82,1758.91831953
R069_SM67,R126_S2,347.13826535
R069_SM67,R131_S2,1759.36589747
R069_SM67,R141_S1,540.03859659
R069_SM67,R141_S2,529.62652548
R069_SM67,R142_S2,1051.09315539
R069_SM67,R142_S1,1080.36926605
R069_SM67,R135_S2,1151.75259389
R069_SM67,R116_S1,1256.75773039
R069_SM67,R135_S1,1189.98402916
R069_S3,R092_S1,916.90028357
R069_S3,R131_SM83,1819.53596854
R069_S3,R133_S2,945.75445391
R069_S3,R133_S4,926.23511848
R069_S3,R134_S1,1065.68864263
R069_S3,R134_S2,1016.6296035
R069_S3,R154_S2,535.05601834
R069_S3,R154_S1,529.2786573
R069_S3,R085_S2,1785.18134587
R069_S3,R116_S2,1264.74746025
R069_S3,R085_S1,1828.31888346
R069_S3,R069_S4,52.6524616
R069_S3,R069_SM67,55.78700351
R069_S3,R069_S3,0.0
R069_S3,R071_S1,1319.39318353
R069_S3,R074_S3,781.76365281
R069_S3,R071_S2,1354.55453061
R069_S3,R074_S2,833.11202522
R069_S3,R074_S1,788.87252978
R069_S3,R077_S2,436.60282039
R069_S3,R126_S1,287.4488361
R069_S3,R131_S1,1839.47705528
R069_S3,R131_SM82,1814.55712632
R069_S3,R126_S2,291.59239559
R069_S3,R131_S2,1814.98366141
R069_S3,R141_S1,571.67412973
R069_S3,R141_S2,560.6312204
R069_S3,R142_S2,1088.81135958
R069_S3,R142_S1,1118.37596511
R069_S3,R135_S2,1202.96068276
R069_S3,R116_S1,1302.24748294
R069_S3,R135_S1,1241.30188248
R071_S1,R092_S1,1846.90699177
R071_S1,R131_SM83,1117.90577177
R071_S1,R133_S2,679.02743887
R071_S1,R133_S4,717.3820469
R071_S1,R134_S1,632.57815516
R071_S1,R134_S2,670.08803519
R071_S1,R154_S2,817.50179459
